fold_id,block_id,training_aspect_instances,training_positive_instances,training_review_count,evaluation_review_count,train_evaluation_review_overlap_count,heldout_aspect_training_instance_count,selected_threshold,selection_pair_micro_f1,selection_presence_f1,selection_aspect_call_rate,scaler_mean_absolute_logit,scaler_mean_relative_logit,scaler_scale_absolute_logit,scaler_scale_relative_logit,logistic_intercept,logistic_coefficient_absolute_logit,logistic_coefficient_relative_logit,logistic_iterations
l2-a01,0,9350,1414,850,207,0,0,0.68,0.6018029219769973,0.6355958711291836,0.1906951871657754,-1.057663757547074,0.5783798554664717,2.357647259422848,2.395312411604968,-1.0202298462674357,1.1002866779703349,0.8986103550604998,10
l2-a01,1,9339,1427,849,208,0,0,0.67,0.6027060270602707,0.6359418496752243,0.19338258914230647,-1.0411287548219583,0.5681316336295875,2.367705600377761,2.4009248809546206,-0.984963708502324,1.0229897820677467,0.9425969887070128,10
l2-a01,2,9273,1385,843,214,0,0,0.68,0.5986653956148713,0.6314779270633397,0.18774937992019844,-1.0574298290053432,0.5520285727840162,2.3505758358974393,2.390296807871793,-0.9868192758607548,1.0149266799793164,0.9492603539468155,10
l2-a01,3,9383,1427,853,204,0,0,0.73,0.5990275526742301,0.634703196347032,0.1746776084407972,-1.043415450503421,0.5706388843214147,2.3515130434412863,2.3895617778189044,-0.9933419111426386,1.0581674249459183,0.9197018276499409,10
l2-a01,4,9163,1407,833,224,0,0,0.67,0.6038208581271531,0.6363923052664775,0.1925133689839572,-1.0328171039287042,0.5637490764566805,2.357531553145884,2.40111681063474,-0.9713359482381143,1.1272772104746334,0.8286619613586746,9
l2-a01,all_validation_fit,11627,1765,1057,1057,1057,0,0.68,0.601349662584354,0.6354716981132076,0.19007482583641525,-1.0465269345937493,0.5666236210902393,2.357024478525873,2.3954436944120547,-0.9912249695716269,1.0644880657449947,0.9077447790646604,10
l2-a02,0,9350,1415,850,207,0,0,0.73,0.6117873158231902,0.644808743169399,0.1813903743315508,-1.0439827086466797,0.4796703683832486,2.3970379396539574,2.433263543943788,-1.1401301832309563,1.1113549791849042,0.9827624391321036,10
l2-a02,1,9339,1424,849,208,0,0,0.73,0.6160256410256411,0.6486660237865638,0.1806403255166506,-1.0307468284207604,0.4741561688815835,2.4066271073875813,2.441320893263635,-1.119213043528783,1.0367127951507238,1.0432776925837735,11
l2-a02,2,9273,1387,843,214,0,0,0.73,0.6179554390563565,0.6482577251808022,0.17847514288795427,-1.042578674851327,0.4597971765208545,2.394300749675165,2.4365817229913156,-1.11907829227278,1.0684381438389148,1.0058776318598135,11
l2-a02,3,9383,1416,853,204,0,0,0.75,0.6120182887001959,0.6485245901639344,0.1741447298305446,-1.0352132850603046,0.4706508798707585,2.390173207356664,2.4322440412026753,-1.145599271068712,1.085279463578881,1.0207846907041804,11
l2-a02,4,9163,1398,833,224,0,0,0.73,0.6124183006535948,0.6459016393442623,0.18029029793735676,-1.0247211154744291,0.46460416149455364,2.3963953294889153,2.4439661782569897,-1.1071046007423213,1.1307672864929816,0.9399142703442734,10
l2-a02,all_validation_fit,11627,1760,1057,1057,1057,0,0.73,0.6139125937419188,0.6471198754540737,0.18009804764771653,-1.0354807956303687,0.46981265074929557,2.3969231477704294,2.43746025647159,-1.1261647891502935,1.0862408084059558,0.9987560320464239,11
l2-a03,0,9350,1157,850,207,0,0,0.79,0.6184373708143861,0.6542133665421337,0.13390374331550803,-1.1878497427519736,0.42704080166895075,2.328921474513862,2.3596963475877524,-1.0677144145936122,1.2308452841434956,0.652799169185751,11
l2-a03,1,9339,1169,849,208,0,0,0.71,0.6214953271028038,0.6596326690113326,0.14883820537530784,-1.1710983083547324,0.42619362976339026,2.3511952137435435,2.379164587605089,-1.0404178308712453,1.1734233730426002,0.6783878036239748,11
l2-a03,2,9273,1135,843,214,0,0,0.79,0.6253186066270179,0.6592750533049041,0.13048635824436536,-1.1838187475649578,0.40999444343334956,2.3379681726505943,2.3730819499030886,-1.0516105987530844,1.1481431816224899,0.7129816418070359,11
l2-a03,3,9383,1164,853,204,0,0,0.8,0.6213511259382819,0.660242982823628,0.13034210806778215,-1.1744819975823395,0.42738524427119756,2.3360670753041415,2.368525554063371,-1.0664589453910347,1.2012076639380471,0.6770801877456063,11
l2-a03,4,9163,1155,833,224,0,0,0.77,0.6188118811881188,0.6567287784679089,0.13750954927425516,-1.1681921743236319,0.4164016091497579,2.3428482641221073,2.380208714486523,-1.0304664358395692,1.256596945200262,0.5968476691195754,11
l2-a03,all_validation_fit,11627,1445,1057,1057,1057,0,0.79,0.620253164556962,0.6575250836120401,0.13288036466844413,-1.1771123875304876,0.4214452560754794,2.3394072190817803,2.372119473548156,-1.0511807461245328,1.202061660026711,0.6635685590616099,11
l2-a04,0,9350,1462,850,207,0,0,0.74,0.600445717924228,0.6425339366515838,0.17454545454545456,-1.144366233702718,0.39193139613344824,2.4360136385151225,2.48322183928378,-1.027648089694879,1.1453329722617376,0.8918061584843929,9
l2-a04,1,9339,1480,849,208,0,0,0.72,0.6021909233176839,0.6456943120432158,0.17849876860477568,-1.1262527481222606,0.3850774307289312,2.4495990797827165,2.488762219532625,-0.9894936182248371,1.1017068293584402,0.9024756115573412,9
l2-a04,2,9273,1434,843,214,0,0,0.73,0.6057254391672089,0.6437994722955145,0.17232826485495525,-1.1419456367161458,0.37538542731110036,2.432543007906392,2.4731955026195296,-0.9953260840417424,1.1075325818181887,0.8984694777954768,9
l2-a04,3,9383,1471,853,204,0,0,0.74,0.5996168582375478,0.6418393782383419,0.17233294255568582,-1.13263350485848,0.38712213835961595,2.4302829705881344,2.47844634862644,-1.0008738152604082,1.1628877465643004,0.8522643171255958,9
l2-a04,4,9163,1449,833,224,0,0,0.75,0.5982172334103665,0.6372155287817939,0.16795809232784023,-1.126495063886296,0.37307607457076186,2.436175067533879,2.491461443878135,-0.9764690896181237,1.1844275033091154,0.8070224066615379,9
l2-a04,all_validation_fit,11627,1824,1057,1057,1057,0,0.74,0.6007722007722007,0.64177545691906,0.17252945729766922,-1.134358283211062,0.3825709306442157,2.4369464035459827,2.483014357802181,-0.9978194933973545,1.140177596560584,0.8707130830717951,9
l2-a05,0,9350,1381,850,207,0,0,0.71,0.5961038961038961,0.6332247557003258,0.18064171122994652,-1.0914062437168515,0.5821507442275012,2.3549599517033357,2.3813513299694558,-1.0507010519668432,1.002684635983879,1.0061586696912597,7
l2-a05,1,9339,1406,849,208,0,0,0.73,0.5974282888229476,0.6342592592592593,0.1732519541706821,-1.0808312175463897,0.572567000050116,2.365123101369326,2.389703174589218,-1.0010329372384477,0.9847535385873615,0.9847138603570254,7
l2-a05,2,9273,1361,843,214,0,0,0.71,0.5950413223140496,0.6319628647214854,0.17847514288795427,-1.0897775991336904,0.5558746003989031,2.354886112926708,2.386634987339551,-1.0118823970967374,0.9649043695771046,1.0095574274694152,10
l2-a05,3,9383,1398,853,204,0,0,0.73,0.5937912813738441,0.6344050381173351,0.17254609399978685,-1.0823380686850697,0.5716488658308478,2.3514599037905115,2.385197197624609,-1.0209436134364227,0.9930234666854827,0.9988585286246662,7
l2-a05,4,9163,1366,833,224,0,0,0.73,0.5908629441624366,0.6286490156143923,0.17243260940739932,-1.0800408119829048,0.5572990705878824,2.355786949367605,2.390854980219792,-0.9907790854559853,1.0692863743620105,0.888314800064691,10
l2-a05,all_validation_fit,11627,1728,1057,1057,1057,0,0.73,0.5939167556029883,0.6316916488222698,0.17270147071471575,-1.0848892847436193,0.5679721882983945,2.356452104788873,2.3867533431636647,-1.014918028481013,0.9984369370061745,0.9815682185471539,7
l2-a06,0,9350,1103,850,207,0,0,0.82,0.5908133164770333,0.6151898734177215,0.13550802139037432,-2.041127174475478,0.5308564469816063,3.04017547769093,3.0924437182402484,-1.28253217171475,1.3140691451960251,0.6704406902083282,11
l2-a06,1,9339,1124,849,208,0,0,0.81,0.594238683127572,0.6161449752883031,0.13962951065424564,-2.0213929890182794,0.5192957539022511,3.051967677402245,3.1029111811581327,-1.2204520908814833,1.2569601739917966,0.6814700049466499,11
l2-a06,2,9273,1076,843,214,0,0,0.82,0.5897212543554007,0.6120313862249346,0.13134907796829506,-2.0454014789982087,0.4834962618456188,3.0205917067069468,3.076112508804377,-1.2306021536420133,1.256384629808882,0.6776577038732982,11
l2-a06,3,9383,1107,853,204,0,0,0.82,0.5795023196963307,0.6055743243243243,0.1343919855057018,-2.031509779181469,0.5082571207980688,3.026379419866946,3.0783193618056983,-1.2238666850638378,1.2843096938154266,0.6494591228902369,11
l2-a06,4,9163,1102,833,224,0,0,0.82,0.5879332477535302,0.6081370449678801,0.13456291607552112,-2.0149625238736792,0.4894557210936411,3.0297062408941358,3.100359773323958,-1.2192834013528528,1.313478138553077,0.6288521560127048,11
l2-a06,all_validation_fit,11627,1378,1057,1057,1057,0,0.82,0.5885151206252124,0.6115646258503401,0.13434247871333965,-2.030921432546061,0.5063759137760143,3.033834688648937,3.0900702160173728,-1.2351297558597347,1.2854269120500235,0.6611644632388141,11
l2-a07,0,9350,1204,850,207,0,0,0.8,0.5885516711486746,0.628858024691358,0.14844919786096256,-1.5468912942694408,0.5014196188998237,2.731793743555342,2.793198582286367,-1.2440164079501055,1.1765897764265734,0.8597476449777981,11
l2-a07,1,9339,1228,849,208,0,0,0.78,0.5990338164251208,0.6407766990291263,0.15526287611093265,-1.5295053758734112,0.4938170979908563,2.749829987172553,2.8054578055623285,-1.2096278580718727,1.0969431586708878,0.9192050508550971,11
l2-a07,2,9273,1194,843,214,0,0,0.78,0.5907879710696612,0.6299694189602446,0.15334843092850212,-1.5392583894755507,0.48120297984070504,2.735141090012132,2.798773347746034,-1.194968421922748,1.0738669353409962,0.9299793038513728,11
l2-a07,3,9383,1219,853,204,0,0,0.79,0.5905482041587902,0.6306990881458967,0.15059149525738036,-1.5342416023799126,0.4932640910592567,2.7312448183566818,2.7918306115900027,-1.2172884242583164,1.1627015874112947,0.8550605318111354,11
l2-a07,4,9163,1199,833,224,0,0,0.75,0.5847612103536274,0.6268766019772977,0.1671941503874277,-1.5175344359115106,0.4847902147973544,2.7404266011539513,2.8106194185200937,-1.1763588797039983,1.1769040478127217,0.8057822550372566,11
l2-a07,all_validation_fit,11627,1511,1057,1057,1057,0,0.79,0.5904239097285758,0.6299019607843137,0.15076976004128323,-1.5335422796872802,0.49094040275888046,2.7376992930532555,2.7999463668161813,-1.2082628840405507,1.136009682372473,0.875240086432774,11
l2-a08,0,9350,1374,850,207,0,0,0.73,0.5946649316851008,0.634640522875817,0.18032085561497327,-1.0304190159469067,0.6585674465511062,2.61905179633916,2.6908394370761903,-1.071858635006813,1.0482409739924492,0.9427330548434943,10
l2-a08,1,9339,1388,849,208,0,0,0.73,0.5977309562398704,0.6375773363725171,0.18021201413427562,-1.0189640625629977,0.6481192022441924,2.6342566372480665,2.7018613388183192,-1.0540506234398999,0.9998171591526638,0.9848587657933024,7
l2-a08,2,9273,1356,843,214,0,0,0.74,0.5966442953020135,0.6338834624452677,0.17394586433732342,-1.0310069018007162,0.6363278641431147,2.61706017720729,2.6946068658169238,-1.0488727763241164,0.9678991914996993,1.0146250919497937,10
l2-a08,3,9383,1395,853,204,0,0,0.77,0.5940127817019846,0.6333220682663062,0.1666844292870084,-1.0162710959896601,0.6578561477781983,2.621232338021033,2.6948242924335895,-1.059354903526476,1.0130727930160135,0.9817957253191506,7
l2-a08,4,9163,1371,833,224,0,0,0.75,0.5931917762049208,0.6318997629529293,0.17265087853323147,-1.0102394359024125,0.6439770788198589,2.6254756578707132,2.702623560885229,-1.019940557366719,1.091634427608461,0.860111160598997,10
l2-a08,all_validation_fit,11627,1721,1057,1057,1057,0,0.73,0.5956112852664577,0.6360535292574128,0.17975402081362346,-1.0214059048899589,0.6490170582918992,2.6234330906508885,2.6969465708578286,-1.0503385641551628,1.0238736249164677,0.956935142013726,11
l2-a09,0,9350,1467,850,207,0,0,0.69,0.598113781563736,0.637778455904791,0.19358288770053475,-0.9936844093461071,0.7055222281251238,2.250438567527736,2.2937916838944443,-0.9439260093527662,1.060253068997086,0.8522095973972061,9
l2-a09,1,9339,1487,849,208,0,0,0.69,0.6025408348457351,0.640582347588717,0.19381090052468145,-0.9798789784284977,0.6995914400659461,2.2657143066205463,2.30725652210771,-0.9124037080446796,1.0175628261643077,0.8690246210035992,8
l2-a09,2,9273,1443,843,214,0,0,0.7,0.6019417475728155,0.6388190954773869,0.18774937992019844,-0.9931433085165055,0.6834349482751086,2.2509697926367056,2.2998435554629673,-0.9196852700433406,0.999448130239783,0.8889443225839572,9
l2-a09,3,9383,1477,853,204,0,0,0.7,0.5985937022317334,0.6404907975460122,0.19002451241607163,-0.9821252517367888,0.7004664391196522,2.248912361390435,2.2946128018784653,-0.9277669500419994,1.0412931446423443,0.8595625603576522,8
l2-a09,4,9163,1458,833,224,0,0,0.71,0.5953282828282829,0.6337448559670782,0.18563789152024446,-0.972947832818907,0.6939602678590254,2.2543370737957944,2.302088311721239,-0.8955093642444066,1.0961749301046093,0.7704859991938193,8
l2-a09,all_validation_fit,11627,1833,1057,1057,1057,0,0.7,0.5985185185185186,0.6379395740465577,0.1896447922937989,-0.9843867535901202,0.6966294852445349,2.2540944336050117,2.29952012338137,-0.9201885716264164,1.0428385436616805,0.8485846251879299,8
l2-a10,0,9350,1466,850,207,0,0,0.7,0.609159347553325,0.6488209050350542,0.17882352941176471,-0.7972739785290168,0.6699552980254408,2.2718395891770653,2.3145758758158816,-0.9213060796600964,1.0543485658476845,0.9015078651389696,9
l2-a10,1,9339,1481,849,208,0,0,0.7,0.6089943785134291,0.6478426395939086,0.17892707998715066,-0.787755408008271,0.6619698706161591,2.2913312467156324,2.333406592990482,-0.8917543601939848,0.988207641224317,0.9423072094080608,7
l2-a10,2,9273,1441,843,214,0,0,0.71,0.6111648919006131,0.647675180091683,0.17394586433732342,-0.8003507373546347,0.6468565443850897,2.272788748978816,2.320861345411823,-0.9007760552757327,0.9983010063938791,0.937762915151827,10
l2-a10,3,9383,1472,853,204,0,0,0.7,0.6046948356807512,0.6465160674514795,0.17808803154641373,-0.7900716476017093,0.6635379408603331,2.274664295107389,2.3190309331250507,-0.902770966448712,1.0201914777404062,0.9222286697186087,10
l2-a10,4,9163,1452,833,224,0,0,0.7,0.6047405509288918,0.64213611201563,0.17668885736112627,-0.7837750094456365,0.6566852643402209,2.2823643191865126,2.325543457116862,-0.8785997222594021,1.0800521347713414,0.834803579999156,9
l2-a10,all_validation_fit,11627,1828,1057,1057,1057,0,0.71,0.6076335877862595,0.6458117890382626,0.17545368538746023,-0.7918634325948689,0.6598370811590939,2.278606400599772,2.3226917906765605,-0.8991215986014898,1.0290396393573435,0.9064976941819477,9
l2-a11,0,9350,1435,850,207,0,0,0.72,0.6120325203252033,0.6503267973856209,0.17379679144385027,-0.9703538581505365,0.6070993513167923,2.421293181924765,2.4624474059187205,-1.0083467243474264,1.0315012468067775,1.0002230286616107,7
