method_id,fold_id,condition,validation_reviews,heldout_pair_tp,heldout_pair_fp,heldout_pair_fn,heldout_pair_precision,heldout_pair_recall,heldout_pair_micro_f1,heldout_pair_gold_label_count,heldout_pair_predicted_label_count,false_positive_rows_per_100,false_negative_rows_per_100,mean_heldout_prediction_set_size
strict_train_only_tfidf,l2-a01,N,1057,14,64,67,0.1794871794871795,0.1728395061728395,0.1761006289308176,81,78,5.771050141911069,6.338694418164617,0.07379375591296121
strict_train_only_tfidf,l2-a02,N,1057,5,21,81,0.19230769230769232,0.05813953488372093,0.08928571428571429,86,26,1.9867549668874172,7.663197729422895,0.02459791863765374
strict_train_only_tfidf,l2-a03,N,1057,14,22,387,0.3888888888888889,0.034912718204488775,0.06407322654462243,401,36,2.0813623462630084,36.61305581835383,0.03405865657521287
strict_train_only_tfidf,l2-a04,N,1057,9,33,13,0.21428571428571427,0.4090909090909091,0.28125,22,42,3.122043519394513,1.2298959318826868,0.039735099337748346
strict_train_only_tfidf,l2-a05,N,1057,3,10,115,0.23076923076923078,0.025423728813559324,0.04580152671755725,118,13,0.9460737937559129,10.879848628192999,0.01229895931882687
strict_train_only_tfidf,l2-a06,N,1057,190,127,287,0.5993690851735016,0.39832285115303984,0.47858942065491183,477,317,12.015137180700094,26.86849574266793,0.29990539262062443
strict_train_only_tfidf,l2-a07,N,1057,124,135,213,0.47876447876447875,0.36795252225519287,0.4161073825503356,337,259,12.298959318826869,19.962157048249765,0.24503311258278146
strict_train_only_tfidf,l2-a08,N,1057,9,11,117,0.45,0.07142857142857142,0.1232876712328767,126,20,1.0406811731315042,10.974456007568591,0.01892147587511826
strict_train_only_tfidf,l2-a09,N,1057,5,29,8,0.14705882352941177,0.38461538461538464,0.2127659574468085,13,34,2.7436140018921478,0.7568590350047304,0.03216650898770104
strict_train_only_tfidf,l2-a10,N,1057,4,50,14,0.07407407407407407,0.2222222222222222,0.1111111111111111,18,54,4.7303689687795645,1.3245033112582782,0.0510879848628193
strict_train_only_tfidf,l2-a11,N,1057,9,23,42,0.28125,0.17647058823529413,0.21686746987951808,51,32,2.1759697256385997,3.9735099337748343,0.030274361400189215
strict_train_only_tfidf,l2-a12,N,1057,35,60,93,0.3684210526315789,0.2734375,0.31390134529147984,128,95,5.676442762535478,8.798486281929991,0.08987701040681173
strict_train_only_tfidf,l2-a01,D,1057,28,127,53,0.18064516129032257,0.345679012345679,0.23728813559322035,81,155,11.352885525070956,5.014191106906338,0.1466414380321665
strict_train_only_tfidf,l2-a02,D,1057,17,84,69,0.16831683168316833,0.19767441860465115,0.18181818181818182,86,101,7.947019867549669,6.5279091769157995,0.09555345316934721
strict_train_only_tfidf,l2-a03,D,1057,50,125,351,0.2857142857142857,0.12468827930174564,0.1736111111111111,401,175,11.825922421948912,33.207190160832546,0.16556291390728478
strict_train_only_tfidf,l2-a04,D,1057,9,68,13,0.11688311688311688,0.4090909090909091,0.18181818181818182,22,77,6.433301797540208,1.2298959318826868,0.0728476821192053
strict_train_only_tfidf,l2-a05,D,1057,50,91,68,0.3546099290780142,0.423728813559322,0.3861003861003861,118,141,8.420056764427626,6.433301797540208,0.13339640491958374
