method_id,fold_id,condition,heldout_aspects,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,heldout_positive_review_support,heldout_predicted_positive_reviews,method
description_conditioned_weight_transfer_kernel_ridge,l2-a01,D,Account management: Account access,0.08111239860950174,0.1793531525645214,0.1868025656796415,0.18944844124700239,0.11603575563881093,0.43902439024390244,81,753,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a01,N,Account management: Account access,0.07725321888412018,0.17851051733939738,0.1868025656796415,0.17555555555555555,0.11374454992781256,0.45121951219512196,81,819,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a02,D,Company brand: Competitor,0.12488174077578051,0.20825979527003177,0.21683698296836984,0.15939278937381404,0.11120908816599101,0.7861271676300579,86,968,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a02,N,Company brand: Competitor,0.08600182982616651,0.2042575650950035,0.21683698296836984,0.15808823529411764,0.10763219266800386,0.5433526011560693,86,1002,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a03,D,Company brand: General satisfaction,0.26705653021442494,0.22629969418960244,0.22070626003210272,0.4756335282651072,0.4114506454465062,0.6184538653366584,401,625,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a03,N,Company brand: General satisfaction,0.2612011439466158,0.2256891495601173,0.22070626003210272,0.4637404580152672,0.403708750678835,0.6201743462017435,401,647,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a04,D,Company brand: Reviews,0.029197080291970802,0.2213876967095851,0.23941320293398533,0.04597701149425287,0.06730677653326272,0.6363636363636364,22,935,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a04,N,Company brand: Reviews,0.026465028355387523,0.2194451830187007,0.23941320293398533,0.04170616113744076,0.04679965552483262,0.6363636363636364,22,1033,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a05,D,Logistics rides: Speed,0.1654320987654321,0.24961513085550913,0.25784645098986,0.2103960396039604,0.12993267207729586,0.7932489451476793,118,690,Description-to-weight transfer
description_conditioned_weight_transfer_kernel_ridge,l2-a05,N,Logistics rides: Speed,0.1414141414141414,0.24653950953678475,0.25784645098986,0.18489289740698986,0.11992893964899395,0.7932489451476793,118,769,Description-to-weight transfer
