method_id,interface,average_precision,f1,precision,recall,false_positive_rows_per_100,score_separation,mean_ap_delta_vs_D,improved_aspects,tied_aspects,worsened_aspects
tfidf_field_similarity,D,0.45302083319826786,0.35337977272916815,0.28835980647296444,0.7043732103880063,19.665829264503056,0.03959240682431921,0.0,0,12,0
tfidf_field_similarity,R1_concat,0.44878058760040596,0.2984695984773088,0.2161541705920108,0.815110347837082,36.76739802585645,0.03587650260273805,-0.0042402455978619415,5,0,7
tfidf_field_similarity,R2_positive_concat,0.46442613839366476,0.3212561759873782,0.24657138864455527,0.7664395910584512,28.648050163667172,0.03835797896414251,0.011405305195396924,8,0,4
tfidf_field_similarity,R3_prototype_max,0.42519452529675106,0.2980500315207673,0.2175400799574772,0.8079936243615548,36.931560558081664,0.04863642295256637,-0.027826307901516818,2,0,10
tfidf_field_similarity,R4_prototype_top2,0.44062931581353004,0.31858070168982017,0.2454191558757728,0.7506807724037915,27.630411966878455,0.041066254300146834,-0.012391517384737809,6,0,6
tfidf_field_similarity,R5_contrastive_top2_l0.10,0.43969441557900624,0.31998437359040643,0.24834718347437926,0.7424730150788076,26.821201009470336,0.04113517676844966,-0.013326417619261668,6,0,6
tfidf_field_similarity,R5_contrastive_top2_l0.25,0.4375170110780553,0.3211375032636753,0.251324194659681,0.7329141162215905,25.942782145618835,0.0412385604709039,-0.015503822120212582,5,0,7
tfidf_field_similarity,R5_contrastive_top2_l0.50,0.4336410378521269,0.3221518242391519,0.2550036835093058,0.7196591298759575,24.881593160411033,0.041410866641660965,-0.019379795346140982,5,0,7
e5_base_v2_field_similarity,D,0.3384946793745701,0.304093730249949,0.3046086143709803,0.456426166939702,10.617276790056033,0.01168644461990683,0.0,0,12,0
e5_base_v2_field_similarity,R1_concat,0.31756141784487546,0.2846815260663232,0.26293341311228535,0.47569102055720464,14.003556128517891,0.010054579780234392,-0.020933261529694668,4,0,8
e5_base_v2_field_similarity,R2_positive_concat,0.33101901737651396,0.29436984929056464,0.284534249962593,0.4743459019648834,12.576584686833757,0.010781799327117406,-0.007475661998056199,6,0,6
e5_base_v2_field_similarity,R3_prototype_max,0.3126039748473714,0.28410454358132436,0.22363802842642025,0.6734116755283334,27.962343779364783,0.01043531719630247,-0.025890704527198743,3,0,9
e5_base_v2_field_similarity,R4_prototype_top2,0.31128699707096524,0.280857759006939,0.23541527232763315,0.6113561906179069,22.85661955118771,0.010080219652170902,-0.027207682303604916,2,0,10
e5_base_v2_field_similarity,R5_contrastive_top2_l0.10,0.3113142654529192,0.2808521927826131,0.23561206372560659,0.6105631960661627,22.809364989045395,0.010124422805439431,-0.027180413921650992,2,0,10
e5_base_v2_field_similarity,R5_contrastive_top2_l0.25,0.3112954600924675,0.28109050487856074,0.23600601470840823,0.610320177944239,22.753722853623785,0.010190727535342232,-0.02719921928210267,2,0,10
e5_base_v2_field_similarity,R5_contrastive_top2_l0.50,0.3112412152168801,0.28093199326991014,0.2361422458751947,0.6092041097765182,22.69712557404429,0.010301235418513546,-0.02725346415769005,2,0,10
